sick_cd_3,sick_cd_4,sick_desc_kor,sick_desc_eng,gender,age_limit_u,age_limit_l
A00,,콜레라,Cholera,,,
A00,A000,비브리오 콜레라 01 콜레라형균에 의한 콜레라,"Cholera due to Vibrio cholerae 01, biovar cholerae",,,
A00,A001,비브리오 콜레라 01 엘토르형균에 의한 콜레라,"Cholera due to Vibrio cholerae 01, biovar eltor",,,
A00,A009,상세불명의 콜레라,"Cholera, unspecified",,,
A01,,장티푸스 및 파라티푸스,Typhoid and paratyphoid fevers,,,
A01,A010,장티푸스,Typhoid fever,,,
A01,A011,파라티푸스 A,Paratyphoid fever A,,,
A01,A012,파라티푸스 B,Paratyphoid fever B,,,
A01,A013,파라티푸스 C,Paratyphoid fever C,,,
A01,A014,상세불명의 파라티푸스,"Paratyphoid fever, unspecified",,,
A02,,기타 살모넬라감염,Other salmonella infections,,,
A02,A020,살모넬라장염,Salmonella enteritis,,,
A02,A021,살모넬라패혈증,Salmonella sepsis,,,
A02,A022,국소적 살모넬라감염,Localized salmonella infections,,,
A02,A028,기타 명시된 살모넬라감염,Other specified salmonella infections,,,
A02,A029,상세불명의 살모넬라감염,"Salmonella infection, unspecified",,,
A03,,시겔라증,Shigellosis,,,
A03,A030,이질이질균에 의한 시겔라증,Shigellosis due to Shigella dysenteriae,,,
A03,A031,플렉스네리이질균에 의한 시겔라증,Shigellosis due to Shigella flexneri,,,
A03,A032,보이디이질균에 의한 시겔라증,Shigellosis due to Shigella boydii,,,
A03,A033,소네이이질균에 의한 시겔라증,Shigellosis due to Shigella sonnei,,,
A03,A038,기타 시겔라증,Other shigellosis,,,
A03,A039,상세불명의 시겔라증,"Shigellosis, unspecified",,,
A04,,기타 세균성 장감염,Other bacterial intestinal infections,,,
A04,A040,장병원성 대장균감염,Enteropathogenic Escherichia coli infection,,,
A04,A041,장독소생산 대장균감염,Enterotoxigenic Escherichia coli infection,,,
A04,A042,장침투성 대장균감염,Enteroinvasive Escherichia coli infection,,,
A04,A043,장출혈성 대장균감염,Enterohaemorrhagic Escherichia coli infection,,,
A04,A044,기타 장대장균감염,Other intestinal Escherichia coli infection,,,
A04,A045,캄필로박터장염,Campylobacter enteritis,,,
A04,A046,예르시니아 엔테로콜리티카에 의한 장염,Enteritis due to Yersinia enterocolitica,,,
A04,A047,클로스트리듐 디피실리에 의한 장결장염,Enterocolitis due to Clostridium difficile,,,
A04,A048,기타 명시된 세균성 장감염,Other specified bacterial intestinal infections,,,
A04,A049,상세불명의 세균성 장감염,"Bacterial intestinal infection, unspecified",,,
A05,,달리 분류되지 않은 기타 세균성 음식매개중독,"Other bacterial foodborne intoxications, NEC",,,
A05,A050,음식매개포도구균중독,Foodborne staphylococcal intoxication,,,
A05,A051,보틀리눔중독,Botulism,,,
A05,A052,클로스트리듐 퍼프린젠스[클로스트리듐 웰치]에 의한 식중독,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,,,
A05,A053,장염비브리오균에 의한 식중독,Foodborne Vibrio parahaemolyticus intoxication,,,
A05,A054,바실루스 세레우스에 의한 식중독,Foodborne Bacillus cereus intoxication,,,
A05,A058,기타 명시된 세균성 식중독,Other specified bacterial foodborne intoxications,,,
